workorder,open,close,tail,airframe,ata,label,label_id,cleaned_problem,original_problem,date,ata2,original_action
1160201,11/1/17,11/1/17,N687ND,SEMI,7220,oil leak/pressure issue,c_34,SMALL LEAK ON R/H ENG BACK BONE.,SMALL LEAK ON R/H ENG BACK BONE.,11/1/17,7220,LEAK CK GOOD.
1160201,11/1/17,11/1/17,N687ND,SEMI,7230,intake gasket leak/damage,c_28,#2 & 4 LEFT ENGINE INTAKES LEAKING.,#2 & 4 LEFT ENGINE INTAKES LEAKING.,11/1/17,7230,REPLACED GASKETS.
1160201,11/1/17,11/1/17,N687ND,SEMI,7220,oil leak/pressure issue,c_34,SMALL LEAK ON R/H ENG BACK BONE.,SMALL LEAK ON R/H ENG BACK BONE.,11/1/17,7220,"CLEANED, SEALED & RETORQUED BACK BONE BOLT."
1160201,11/1/17,11/1/17,N687ND,SEMI,7230,intake gasket leak/damage,c_28,#4 INTAKE ON R/H ENG LEAKS & #3 INTAKE ON L/H ENGINE.,#4 INTAKE ON R/H ENG LEAKS & #3 INTAKE ON L/H ENGINE.,11/1/17,7230,REPLACED L/H ENG GASKET.
1160201,11/1/17,11/1/17,N687ND,SEMI,7230,intake gasket leak/damage,c_28,#4 INTAKE ON R/H ENG LEAKS & #3 INTAKE ON L/H ENGINE.,#4 INTAKE ON R/H ENG LEAKS & #3 INTAKE ON L/H ENGINE.,11/1/17,7230,REPLACED GASKET ON R/H ENG.
1160211,11/1/17,1/17/17,N655ND,C172,7230,engine run rough,c_24,PILOT REPORTS PARTIAL POWER LOSS & ROUGH RUNNING ENGINE. (A/,PILOT REPORTS PARTIAL POWER LOSS & ROUGH RUNNING ENGINE. (A/,1/17/17,7230,FOUND #2 CYL CRACKED. REMOVED & REPLACED CYLINDER. C/W
1160211,11/1/17,1/17/17,N655ND,C172,7230,engine run rough,c_24,PILOT REPORTS PARTIAL POWER LOSS & ROUGH RUNNING ENGINE. (A/,PILOT REPORTS PARTIAL POWER LOSS & ROUGH RUNNING ENGINE. (A/,1/17/17,7230,"FOR BILLING PURPOSES ONLY, WORK PERFORMED BY: THIEF RIV"
1160217,11/1/17,12/1/17,N782ND,SEMI,7230,intake gasket leak/damage,c_28,L/H ENG #4 INTAKE LEAKING.,L/H ENG #4 INTAKE LEAKING.,11/1/17,7230,REMOVED & REPLACED W/ NEW GASKET.
1160217,11/1/17,12/1/17,N782ND,SEMI,7230,intake gasket leak/damage,c_28,R/H ENG #4 INTAKE LEAKING.,R/H ENG #4 INTAKE LEAKING.,11/1/17,7230,REMOVED & REPLACED W/ NEW GASKET.
1160222,11/1/17,1/16/17,N599ND,SEMI,7230,intake gasket leak/damage,c_28,"#3 INTAKE GASKET LEAKING, R/H ENGINE.","#3 INTAKE GASKET LEAKING, R/H ENGINE.",1/15/17,7230,REMOVED & REPLACED GASKET.
1160222,11/1/17,1/16/17,N599ND,SEMI,7230,intake gasket leak/damage,c_28,#2 & 4 INTAKE GASKET LEAKING ON L/H ENGINE.,#2 & 4 INTAKE GASKET LEAKING ON L/H ENGINE.,1/15/17,7230,REMOVED & REPLACED GASKETS.
1160222,11/1/17,1/16/17,N599ND,SEMI,7230,baffle seal loose/damage,c_9,L/H ENG FWD L/H BAFFLE/COWL SEAL FOUND IN ENGINE COWL.,L/H ENG FWD L/H BAFFLE/COWL SEAL FOUND IN ENGINE COWL.,1/16/17,7230,INSTALLED L/H ENG FWD L/H BAFFLE/COWL SEAL.
1160295,1/13/17,1/13/17,N2183S,H30G,7230,intake tube/bolt/seal/boot loose or damage,c_29,FUEL IS LEAKING OUT OF #4 INTAKE TUBE.,FUEL IS LEAKING OUT OF #4 INTAKE TUBE.,1/13/17,7230,REMOVED & REPLACED #4 INTAKE GASKET. RAN UP ENGINE. LEA
1160311,1/13/17,2/2/17,N406DB,B06G,7200,drain line/tube damage,c_18,ENGINE DRAIN LINES NEED ADEL CLAMPS REPLACED.,ENGINE DRAIN LINES NEED ADEL CLAMPS REPLACED.,1/24/17,7200,REMOVED & REPLACED 2 ENGINE DRAIN LINE ADEL CLAMPS.
1160332,1/14/17,1/14/17,N2183S,H30G,7230,intake gasket leak/damage,c_28,PILOT REPORTED INTAKE LEAK.,PILOT REPORTED INTAKE LEAK.,1/14/17,7230,"INSPECTED, FOUND INTAKE TO NOT BE LEAKING."
1160361,1/16/17,1/16/17,N575ND,C172,7230,intake gasket leak/damage,c_28,INTAKES #2 & 4 LEAKING.,INTAKES #2 & 4 LEAKING.,1/16/17,7230,REMOVED & REPLACED GASKETS.
1160372,1/16/17,1/19/17,N689ND,SEMI,7230,engine run rough,c_24,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,1/19/17,7230,RAN A/C. OPS & LEAK CK GOOD. REINSTALLED COWLING.
1160372,1/16/17,1/19/17,N689ND,SEMI,7230,engine run rough,c_24,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,1/16/17,7230,CONFIRMED DISCREPANCY. INSPECTED R/H ENGINE & FOUND #3
1160372,1/16/17,1/19/17,N689ND,SEMI,7230,engine run rough,c_24,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,1/17/17,7230,"INSTALLED #2 & 4 INTERCYLINDER BAFFLE, TIE ROD & DRAIN"
1160372,1/16/17,1/19/17,N689ND,SEMI,7230,engine run rough,c_24,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,1/17/17,7230,"REMOVED BAFFLING, INTAKE PIPE, EXHAUST STACK & AFT MUFF"
1160372,1/16/17,1/19/17,N689ND,SEMI,7230,engine run rough,c_24,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,1/17/17,7230,"TORQUED HOLD DOWN NUTS TO SPECS. REINSTALLED INTAKE, EX"
1160372,1/16/17,1/19/17,N689ND,SEMI,7230,engine run rough,c_24,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,R/H ENGINE RUNNING ROUGH. DURING RUN UP ENGINE WAS VIOLENTLY,1/18/17,7230,INSTALLED & TORQUED SPARK PLUGS. CONNECTED SPARK PLUG L
1160379,1/17/17,1/17/17,N586ND,SEMI,7210,engine need repair/reinstall/clean,c_23,BOTH LWR ENG COWLS NEED CLEANING.,BOTH LWR ENG COWLS NEED CLEANING.,1/17/17,7210,CLEANED BOTH COWLS.
1160379,1/17/17,1/17/17,N586ND,SEMI,7230,intake gasket leak/damage,c_28,"LH ENGINE, #2, 4 INTAKE GASKETS LEAKING.","LH ENGINE, #2, 4 INTAKE GASKETS LEAKING.",1/17/17,7230,REMOVED & REPLACED W/ NEW GASKETS.
1160383,1/17/17,1/17/17,N560ND,C172,8000,engine run rough,c_24,MAG DROP OUT OF STANDARDS.,MAG DROP OUT OF STANDARDS.,1/17/17,7200,"RAN A/C UP TO OPERATING PARAMETERS. PERFORMED MAG CK, O"
1160418,1/17/17,1/17/17,N527ND,C172,7230,intake gasket leak/damage,c_28,#1 INTAKE GASKET LEAKING.,#1 INTAKE GASKET LEAKING.,1/17/17,7230,REMOVED & REPLACED GASKET.
1160442,1/18/17,1/18/17,N556ND,C172,7230,intake gasket leak/damage,c_28,#2 & 3 INTAKES LEAKING.,#2 & 3 INTAKES LEAKING.,1/18/17,7230,REMOVED & REPLACED GASKETS.
1160459,1/18/17,1/21/17,N384ND,ARRO,6140,engine/propeller overspeed or damage,c_26,"PROP OVERSPEED, HIGH RPM & ANYTHING ABOVE 22 INCHES WOULD RE","PROP OVERSPEED, HIGH RPM & ANYTHING ABOVE 22 INCHES WOULD RE",1/20/17,7200,C/W LYCOMING 369M; OVERSPEED FOUND TO BE BETWEEN 5 & 10
1160477,1/18/17,1/23/17,N695ND,SEMI,7230,engine need repair/reinstall/clean,c_23,L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,1/23/17,7230,REMOVED & REPLACED #2 CYL ASSY ON LEFT ENGINE. CHANGED
1160477,1/18/17,1/23/17,N695ND,SEMI,7230,engine failure/fire/time out,c_21,L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,L/H ENGINE #2 CYL LOST CHT & EGT DURING LANDING. ALSO STARTE,1/23/17,7230,"FOR BILLIN PURPOSES ONLY, WORK PERFORMED BY: THIEF RIVE"
1160483,1/19/17,1/19/17,N522ND,C172,7230,intake tube/bolt/seal/boot loose or damage,c_29,#3 LWR INTAKE TUBE LEAKS.,#3 LWR INTAKE TUBE LEAKS.,1/19/17,7230,SWEDGED INTAKE TUBE & INSTALLED INTAKE TUBE W/ NEW GASK
1160484,1/19/17,1/19/17,N565ND,C172,7230,intake gasket leak/damage,c_28,#3 & 4 CYL INTAKE GASKETS ARE LEAKING.,#3 & 4 CYL INTAKE GASKETS ARE LEAKING.,1/19/17,7230,REMOVED & REPLACED GASKETS.
1160484,1/19/17,1/19/17,N565ND,C172,7230,baffle screw miss/loose,c_8,#3 CYL AFT BAFFLE ATTACH SCREW HAS COME OUT.,#3 CYL AFT BAFFLE ATTACH SCREW HAS COME OUT.,1/19/17,7230,"REMOVED DIPSTICK TUBE, REINSTALLED SCREW, REINSTALLED D"
1160496,1/19/17,1/19/17,N655ND,C172,7230,engine seal/tube/bolt loose or damage,c_25,#3 EXHAUST PUSH ROD SEAL IS LEAKING.,#3 EXHAUST PUSH ROD SEAL IS LEAKING.,1/19/17,7230,"REMOVED & REPLACED PUSH ROD SEAL, O-RING RETAINER & 2 R"
1160497,1/19/17,1/19/17,N550ND,C172,7230,intake gasket leak/damage,c_28,#1 & 4 INTAKES LEAKING.,#1 & 4 INTAKES LEAKING.,1/19/17,7230,REMOVED & REPLACED GASKETS.
1160498,1/19/17,1/21/17,N654ND,C172,7230,baffle crack/damage/loose/miss,c_4,#1 CYLINDER CRACKED.,#1 CYLINDER CRACKED.,1/21/17,7230,LEAK & OPS CK GOOD.
1160498,1/19/17,1/21/17,N654ND,C172,7230,intake tube/bolt/seal/boot loose or damage,c_29,#2 INTAKE TUBE GASKET LEAKING.,#2 INTAKE TUBE GASKET LEAKING.,1/20/17,7230,INSTALLED NEW GASKET.
1160498,1/19/17,1/21/17,N654ND,C172,7230,baffle crack/damage/loose/miss,c_4,#1 CYLINDER CRACKED.,#1 CYLINDER CRACKED.,1/20/17,7230,INSTALLED NEW #1 CYL IAW LYCOMING OVERHAUL MANUAL.
1160505,1/20/17,1/20/17,N536ND,C172,7230,baffle crack/damage/loose/miss,c_4,#1 CYL SIDE BAFFLE IS CRACKED.,#1 CYL SIDE BAFFLE IS CRACKED.,1/20/17,7230,INSTALLED PATCH MADE OF LIKE MATERIAL.
1160517,1/20/17,1/21/17,N642ND,C172,7230,cylinder compression issue,c_13,#4 CYL HAS LOW COMPRESSION.,#4 CYL HAS LOW COMPRESSION.,1/21/17,7230,"RAN UP A/C, LEAK CK GOOD."
1160517,1/20/17,1/21/17,N642ND,C172,7230,cylinder compression issue,c_13,#4 CYL HAS LOW COMPRESSION.,#4 CYL HAS LOW COMPRESSION.,1/20/17,7230,FOUND DRY TAPPET CLEARANCE W/IN SPECS & ALL FLUID LINES
1160517,1/20/17,1/21/17,N642ND,C172,7230,cylinder compression issue,c_13,#4 CYL HAS LOW COMPRESSION.,#4 CYL HAS LOW COMPRESSION.,1/20/17,7230,"REMOVED CYLINDER FROM ENGINE, INSPECTED & FOUND BURNT E"
1160531,1/21/17,1/22/17,N567ND,C172,7230,baffle tie/tie rod loose or damage,c_11,CYL #1 & 3 TIE ROD IS LOOSE AND AFT BAFFLE IS CONTACTING OIL,CYL #1 & 3 TIE ROD IS LOOSE AND AFT BAFFLE IS CONTACTING OIL,1/21/17,7230,"ADJUSTED INTERCYLINDER BAFFLE TIE ROD, INSPECTED RETURN"
1160539,1/22/17,1/23/17,N526ND,C172,7230,intake gasket leak/damage,c_28,#2 INTAKE LEAKING.,#2 INTAKE LEAKING.,1/23/17,7230,REMOVED & REPLACED GASKET.
1160565,1/23/17,1/23/17,N559ND,C172,7230,intake gasket leak/damage,c_28,#1 & 2 INTAKES LEAKING.,#1 & 2 INTAKES LEAKING.,1/23/17,7230,REMOVED & REPLACED GASKETS.
1160579,1/24/17,1/25/17,N530ND,C172,7230,cylinder compression issue,c_13,#3 CYLINDER HAS LOW COMPRESSION.,#3 CYLINDER HAS LOW COMPRESSION.,1/25/17,7230,RUN UP LEAK CK GOOD.
1160579,1/24/17,1/25/17,N530ND,C172,7230,cylinder compression issue,c_13,#3 CYLINDER HAS LOW COMPRESSION.,#3 CYLINDER HAS LOW COMPRESSION.,1/24/17,7230,"REINSTALLED BAFFLING, EXHAUST INTAKE TUBES, OIL RETURN"
1160579,1/24/17,1/25/17,N530ND,C172,7230,cylinder compression issue,c_13,#3 CYLINDER HAS LOW COMPRESSION.,#3 CYLINDER HAS LOW COMPRESSION.,1/24/17,7230,"REMOVED #3 CYL, GROUND INTAKE VALVE & SEAT, LAPPED EXHA"
1160588,1/24/17,1/24/17,N557ND,C172,7230,intake gasket leak/damage,c_28,#3 INTAKE LEAKING.,#3 INTAKE LEAKING.,1/24/17,7230,REMOVED & REPLACED GASKET.
1160589,1/24/17,1/24/17,N521ND,C172,7230,intake gasket leak/damage,c_28,#3 CYL INTAKE GASKET LEAKING.,#3 CYL INTAKE GASKET LEAKING.,1/24/17,7230,REPLACED GASKET.
1160589,1/24/17,1/24/17,N521ND,C172,7230,baffle screw miss/loose,c_8,SCREW MISSING IN #3 SIDE BAFFLE.,SCREW MISSING IN #3 SIDE BAFFLE.,1/24/17,7230,INSTALLED SCREW.
1160614,1/25/17,1/25/17,N576ND,C172,7230,intake gasket leak/damage,c_28,#2 INTAKE LEAKING.,#2 INTAKE LEAKING.,1/25/17,7230,REMOVED & REPLACED GASKET.
1160615,1/25/17,1/25/17,N677ND,C172,7230,baffle bracket loose/damage,c_3,R/H AFT BAFFLE BRACKET HAS SHEARED RIVET.,R/H AFT BAFFLE BRACKET HAS SHEARED RIVET.,1/25/17,7230,"REMOVED SHEARED RIVET. REPLACED W/ SCREW, WASHERS & NUT"
1160622,1/26/17,1/26/17,N50405,C150,7230,intake gasket leak/damage,c_28,#1 CYLINDER INTAKE GASKET BROKEN & LEAKING.,#1 CYLINDER INTAKE GASKET BROKEN & LEAKING.,1/26/17,7230,REMOVED R/H EXHAUST-INTAKE TUBE ASSY. INTAKE ELBOW GASK
1160654,1/26/17,1/26/17,N8363C,H30G,7230,rocker cover leak/loose/damage,c_37,#2 & 4 CYL ROCKER COVERS ARE MISSING 1 SCREW EACH.,#2 & 4 CYL ROCKER COVERS ARE MISSING 1 SCREW EACH.,1/26/17,7230,INSTALLED NEW SCREWS.
1160696,1/27/17,1/27/17,N572ND,C172,7230,engine idle/rpm issue,c_22,"DURING RUN UP, WHEN CHECKING LEFT MAG, THERE WAS A 250 RPM D","DURING RUN UP, WHEN CHECKING LEFT MAG, THERE WAS A 250 RPM D",1/27/17,7230,"RAN A/C, DETERMINED TO BE #4 LOWER PLUG. REMOVED, CLEAN"
1160703,1/28/17,1/28/17,N731ND,ARCH,7200,engine run rough,c_24,"LAST LANDING AT GFK, COMING OFF RUNWAY 35R, ENGINE SHUT DOWN","LAST LANDING AT GFK, COMING OFF RUNWAY 35R, ENGINE SHUT DOWN",1/28/17,7200,"RAN A/C, IDLE RPM & MIXTURE CK GOOD. MAG CHECKS GOOD. S"
1160711,1/30/17,2/2/17,N689ND,SEMI,7230,intake gasket leak/damage,c_28,L/H ENG #3 INTAKE LEAKING.,L/H ENG #3 INTAKE LEAKING.,1/30/17,7230,REMOVED & REPLACED GASKET.
1160711,1/30/17,2/2/17,N689ND,SEMI,7230,intake gasket leak/damage,c_28,R/H ENGINE #4 INTAKE LEAKING.,R/H ENGINE #4 INTAKE LEAKING.,1/30/17,7230,REMOVED & REPLACED GASKET.
1160712,1/30/17,2/15/17,N26ND,BE90,7220,engine run rough,c_24,R/H ENGINE INLET SCREEN WIRE IS BROKEN.,R/H ENGINE INLET SCREEN WIRE IS BROKEN.,6/2/17,7220,REPLACED W/ NEW SCREEN.
1160742,1/30/17,1/30/17,N677ND,C172,7200,engine run rough,c_24,ENGINE STARTED MAKING ABNORMAL SOUND IN FLIGHT. ABNORMAL VIB,ENGINE STARTED MAKING ABNORMAL SOUND IN FLIGHT. ABNORMAL VIB,1/30/17,7200,"RAN UP A/C, COULD NOT DUPLICATE IRREGULOR SOUNDS OR VIB"
1160745,1/30/17,1/30/17,N539ND,C172,7230,baffle crack/damage/loose/miss,c_4,"FWD BAFFLE, L/H BOTTOM RUBBING W/ MUFFLER.","FWD BAFFLE, L/H BOTTOM RUBBING W/ MUFFLER.",1/30/17,7230,"RESECURED BAFFLE W/ MUFFLER W/ RED RTV, NO DEFECT NOTED"
1160758,1/31/17,1/31/17,N582ND,SEMI,7230,intake gasket leak/damage,c_28,"#1, 2, 3, 4 INTAKES LEAKING ON R/H ENGINE.","#1, 2, 3, 4 INTAKES LEAKING ON R/H ENGINE.",1/31/17,7230,REMOVED & REPLACED GASKETS.
1160758,1/31/17,1/31/17,N582ND,SEMI,7230,intake gasket leak/damage,c_28,"#2, 3 INTAKES LEAKING ON L/H ENGINE.","#2, 3 INTAKES LEAKING ON L/H ENGINE.",1/31/17,7230,REMOVED & REPLACED W/ NEW GASKETS.
1160761,1/31/17,8/2/17,N8363C,H30G,7200,engine run rough,c_24,L/H LOWER ENGINE COWL CAM LOCK MISSING LOCK WASHER.,L/H LOWER ENGINE COWL CAM LOCK MISSING LOCK WASHER.,2/2/17,7200,INSTALLED LOCK WASHER ON CAM LOCK.
1160765,1/31/17,1/31/17,N732ND,ARCH,7200,engine failure/fire/time out,c_21,ENGINE DIED AT IDLE DURING TAXI 3 TIMES. COULD NOT START AFT,ENGINE DIED AT IDLE DURING TAXI 3 TIMES. COULD NOT START AFT,1/31/17,7200,"PERFORMED GROUND RUN, FOUND ENGINE IDLING TOO LOW. ADJU"
1160772,1/31/17,1/2/17,N579ND,C172,7230,intake gasket leak/damage,c_28,#4 INTAKE LEAKING.,#4 INTAKE LEAKING.,1/31/17,7230,REMOVED & REPLACED GASKET.
1160777,1/31/17,1/2/17,N527ND,C172,7310,oil leak/pressure issue,c_34,OIL PRESSURE LINE SUPPORT BRACKET/FUEL FLOW TRANSDUCER WIRE,OIL PRESSURE LINE SUPPORT BRACKET/FUEL FLOW TRANSDUCER WIRE,1/2/17,7230,INSTALLED BRACKET.
1160777,1/31/17,1/2/17,N527ND,C172,7310,mixture fail/need adjust,c_31,FUEL LINE SUPPORT BRACKET (OFF #2 EXH PUSH ROD TUBE) MISSING,FUEL LINE SUPPORT BRACKET (OFF #2 EXH PUSH ROD TUBE) MISSING,1/2/17,7230,INSTALLED BRACKET.
1160786,1/2/17,1/2/17,N561ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 ROCKER COVER LEAKING.,#2 ROCKER COVER LEAKING.,1/2/17,7230,REMOVED & REPLACED GASKET.
1160789,1/2/17,1/2/17,N528ND,C172,7230,intake gasket leak/damage,c_28,#2 CYL INTAKE GASKET LEAKING.,#2 CYL INTAKE GASKET LEAKING.,1/2/17,7230,REMOVED & REPLACED GASKET.
1160789,1/2/17,1/2/17,N528ND,C172,7230,spark plug need repair/replace,c_39,BOTH BAFFLE SPARK PLUG ACCESS HOLES DAMAGED.,BOTH BAFFLE SPARK PLUG ACCESS HOLES DAMAGED.,1/2/17,7230,INSTALLED DOUBLER PLATES. REMOVED & REPLACED BAFFLE PLU
1160805,1/2/17,1/2/17,N574ND,C172,7230,intake gasket leak/damage,c_28,#1 INTAKE LEAKING.,#1 INTAKE LEAKING.,1/2/17,7230,REMOVED & REPLACED GASKET.
1160831,2/2/17,7/2/17,N695ND,SEMI,7230,intake gasket leak/damage,c_28,L/H ENG #4 INTAKE LEAKING.,L/H ENG #4 INTAKE LEAKING.,2/2/17,7230,REMOVED & REPLACED GASKET.
1160831,2/2/17,7/2/17,N695ND,SEMI,7230,intake gasket leak/damage,c_28,"R/H ENG #3, 4 INTAKES LEAKING.","R/H ENG #3, 4 INTAKES LEAKING.",2/2/17,7230,REMOVED & REPLACED GASKETS.
1160846,2/2/17,2/2/17,N550ND,C172,7200,engine need repair/reinstall/clean,c_23,"DURING RUN UP, ENGINE SHUT DOWN. RESTARTED & HAD FLAMES COMI","DURING RUN UP, ENGINE SHUT DOWN. RESTARTED & HAD FLAMES COMI",2/2/17,7200,"NSPECTED ENGINE, PERFORMED GROUND RUN. OPS CK'ED GOOD."
1160881,3/2/17,3/2/17,N573ND,C172,7200,engine run rough,c_24,"AFTER START UP, ENGINE KEPT HESITATING EVERY 4-5 SECONDS.","AFTER START UP, ENGINE KEPT HESITATING EVERY 4-5 SECONDS.",3/2/17,7200,"PERFORMED GROUND RUN, OPS CK'ED GOOD."
1160893,3/2/17,3/2/17,N745ND,ARCH,7200,pilot/in-flight noticed issue,c_36,PILOT REPORTS START ASSIST.,PILOT REPORTS START ASSIST.,3/2/17,7200,STARTED A/C.
1160914,6/2/17,7/2/17,N563ND,C172,7230,baffle plug need repair/replace,c_6,BAFFLE PLUG WORN.,BAFFLE PLUG WORN.,6/2/17,7230,REMOVED & REPLACED BAFFLE PLUG.
1160938,6/2/17,6/2/17,N573ND,C172,7230,intake gasket leak/damage,c_28,"#2, 1 INTAKES LEAKING.","#2, 1 INTAKES LEAKING.",6/2/17,7230,REMOVED & REPLACED GASKETS.
1160938,6/2/17,6/2/17,N573ND,C172,7200,engine need repair/reinstall/clean,c_23,ENGINE COVER REMOVED FOR INSPECTION.,ENGINE COVER REMOVED FOR INSPECTION.,6/2/17,7200,INSTALLED ENGINE COVER.
1160956,7/2/17,8/2/17,N512ND,C172,7230,intake gasket leak/damage,c_28,#2 INTAKE GASKET LEAKING.,#2 INTAKE GASKET LEAKING.,7/2/17,7230,INSTALLED NEW INTAKE GASKET.
1160956,7/2/17,8/2/17,N512ND,C172,7230,baffle plug need repair/replace,c_6,ENGINE BAFFLE PLUG TANGS BROKEN.,ENGINE BAFFLE PLUG TANGS BROKEN.,7/2/17,7230,INSTALLED NEW BAFFLE PLUG.
1160957,7/2/17,7/2/17,N782ND,SEMI,7230,intake gasket leak/damage,c_28,L/H #4 INTAKE GASKET LEAKING.,L/H #4 INTAKE GASKET LEAKING.,7/2/17,7230,REMOVED & REPLACED W/ NEW GASKET.
1160957,7/2/17,7/2/17,N782ND,SEMI,7230,intake gasket leak/damage,c_28,R/H #4 INTAKE GASKET IS LEAKING.,R/H #4 INTAKE GASKET IS LEAKING.,7/2/17,7230,REMOVED & REPLACED W/ NEW GASKET.
1160957,7/2/17,7/2/17,N782ND,SEMI,7230,rocker cover leak/loose/damage,c_37,#3 ROCKER COVER GASKET LEAKING ON L/H ENGINE.,#3 ROCKER COVER GASKET LEAKING ON L/H ENGINE.,7/2/17,7230,REMOVED & REPLACED W/ NEW SILICONE GASKETS.
1160981,8/2/17,2/16/17,N593ND,SEMI,7230,intake gasket leak/damage,c_28,R/H ENG #4 CYL INTAKE LEAKS.,R/H ENG #4 CYL INTAKE LEAKS.,8/2/17,7230,REMOVED & REPLACED GASKET.
1160981,8/2/17,2/16/17,N593ND,SEMI,7230,oil cooler need maintenance,c_32,"R/H ENG HAS CRACKED 90* BRACKET FWD OIL COOLER, NEEDS STOP D","R/H ENG HAS CRACKED 90* BRACKET FWD OIL COOLER, NEEDS STOP D",10/2/17,7230,STOP DRILLED CRACK END.
1160981,8/2/17,2/16/17,N593ND,SEMI,7230,baffle crack/damage/loose/miss,c_4,"MANY CRACKS ON BAFFLING (#3 CYL) R/H ENG, BEHIND 90* BRACKET","MANY CRACKS ON BAFFLING (#3 CYL) R/H ENG, BEHIND 90* BRACKET",9/2/17,7230,REMOVED BAFFLE ASSY & CLEANED AREA.
1160981,8/2/17,2/16/17,N593ND,SEMI,7230,baffle tie/tie rod loose or damage,c_11,L/H ENG BAFFLE TIE ROD WIRE HITTING BOTH O/B CLAMPS.,L/H ENG BAFFLE TIE ROD WIRE HITTING BOTH O/B CLAMPS.,2/14/17,7230,DAMAGE NEG. ADJUSTED TOWARD I/B & ADJ CLAMPS OUT OF THE
1160981,8/2/17,2/16/17,N593ND,SEMI,7230,baffle crack/damage/loose/miss,c_4,"MANY CRACKS ON BAFFLING (#3 CYL) R/H ENG, BEHIND 90* BRACKET","MANY CRACKS ON BAFFLING (#3 CYL) R/H ENG, BEHIND 90* BRACKET",10/2/17,7230,INSTALLED NEW BAFFLE SECTION. CLEANED SCAT TUBE.
1160981,8/2/17,2/16/17,N593ND,SEMI,7230,oil cooler need maintenance,c_32,L/H ENG HAS CRACKED 90* BRACKET BY (FWD OF) OIL COOLER - PAS,L/H ENG HAS CRACKED 90* BRACKET BY (FWD OF) OIL COOLER - PAS,8/2/17,7230,REPLACED W/ SERVICEABLE BRACKET FROM L/H ENG BAFFLE.
1160983,8/2/17,8/2/17,N568ND,C172,7230,intake gasket leak/damage,c_28,#3 & 4 INTAKE GASKETS ARE LEAKING.,#3 & 4 INTAKE GASKETS ARE LEAKING.,8/2/17,7230,REPLACED BOTH GASKETS.
1160983,8/2/17,8/2/17,N568ND,C172,7230,baffle plug need repair/replace,c_6,BAFFLE PLUGS NEED TO BE REPLACED.,BAFFLE PLUGS NEED TO BE REPLACED.,8/2/17,7230,INSTALLED NEW BAFFLE PLUGS.
1160993,8/2/17,8/2/17,N781ND,SEMI,7200,engine/propeller overspeed or damage,c_26,L/H ENGINE OVERSPEED ON TAKE OFF & CLIMB; 2720-2730. COULD H,L/H ENGINE OVERSPEED ON TAKE OFF & CLIMB; 2720-2730. COULD H,8/2/17,7200,REMOVED SD CARD & READ. 2733.2 RPM HIGHEST RECORDING. L
1160998,8/2/17,9/2/17,N548ND,C172,7230,baffle rivet loose/miss/damage,c_7,RIVET LOOSE ON L/H BAFFLE.,RIVET LOOSE ON L/H BAFFLE.,8/2/17,7230,TIGHTENED RIVET.
1160998,8/2/17,9/2/17,N548ND,C172,7230,rocker cover leak/loose/damage,c_37,"#2, 4 ROCKER BOX LEAKING.","#2, 4 ROCKER BOX LEAKING.",8/2/17,7230,REMOVED & REPLACED GASKETS.
1161022,8/2/17,9/2/17,N782ND,SEMI,7200,engine need repair/reinstall/clean,c_23,LEFT ENGINE WOULD NOT START. LEFT ENGIEN COVER WAS NOT PUT O,LEFT ENGINE WOULD NOT START. LEFT ENGIEN COVER WAS NOT PUT O,9/2/17,7200,"STARTED & RAN ENGINE L/H, ALL SYSTEMS W/IN PARAMETERS."
1161086,10/2/17,10/2/17,N550ND,C172,7230,intake tube/bolt/seal/boot loose or damage,c_29,#4 INTAKE TUBE GASKET LEAKING.,#4 INTAKE TUBE GASKET LEAKING.,10/2/17,7230,REMOVED & REPLACED GASKET.
1161107,10/2/17,10/2/17,N529ND,C172,7230,rocker cover leak/loose/damage,c_37,#2 CYL NEEDS NEW GASKET ON ROCKER BOX.,#2 CYL NEEDS NEW GASKET ON ROCKER BOX.,10/2/17,7230,REMOVED & REPLACED GASKET.
